time,lambda1_rho1,lambda2_rho1,lambda3_rho1,lambda1_rho5,lambda2_rho5,lambda3_rho5,lambda1_rho10,lambda2_rho10,lambda3_rho10,lambda1_rho15,lambda2_rho15,lambda3_rho15,lambda1_rho20,lambda2_rho20,lambda3_rho20,lambda1_rho25,lambda2_rho25,lambda3_rho25,lambda1_rho26,lambda2_rho26,lambda3_rho26,lambda1_rho27,lambda2_rho27,lambda3_rho27,lambda1_rho28,lambda2_rho28,lambda3_rho28,lambda1_rho29,lambda2_rho29,lambda3_rho29,lambda1_rho30,lambda2_rho30,lambda3_rho30
47.900000000000404,-0.07802970084197874,-2.6672343650838775,-10.921402598658903,-0.9278192228711518,-0.9536938108294487,-11.785153629990347,-0.5982384725522143,-0.6136742573507105,-12.454753932743575,-0.34892101439504064,-0.371372157986043,-12.946373489907256,-0.15610326873482525,-0.17310932867575932,-13.337454065109004,0.8695151138330514,-0.034270339056856516,-14.501911438630273,0.8280658931337446,-0.02198961101888513,-14.47274294577728,0.8466299488175847,-0.047436651008984275,-14.46585996140235,0.790753950324913,0.05076444627789449,-14.5081850601409,0.9181395937429948,-0.010043797148656922,-14.574762460336101,0.9528103161478174,-0.012496175698259119,-14.606980804189995
48.0000000000004,-0.07791082600593918,-2.6671998097449183,-10.921556028833876,-0.9245335277221105,-0.9569293718527149,-11.785203764116128,-0.5955690742704627,-0.6163000753432613,-12.454797513032874,-0.3512578749415261,-0.36899382459236263,-12.946414962754773,-0.15985999227843944,-0.1693117316013264,-13.337494938639756,0.8778243220741049,-0.03837005235186778,-14.506120933576133,0.8315280067709685,-0.024211302028170265,-14.47398336839478,0.8531203427183878,-0.050921224422969036,-14.468865781894042,0.7864843644961326,0.05023050430903017,-14.503381532354876,0.9295205366345246,-0.011511361313154247,-14.584675839061502,0.9590803715905214,-0.01301069672674951,-14.612736338606346
48.10000000000039,-0.07779238418550154,-2.6671654449654887,-10.92170883543372,-0.9221416796729393,-0.9592712942340142,-11.785253689784003,-0.5923664700438845,-0.6194592804876647,-12.454840912115042,-0.35420228049950314,-0.3660081186311141,-12.946456263157945,-0.15911974896566405,-0.17001145220778924,-13.337535461346299,0.8764478308022872,-0.03710694700683222,-14.506007547656735,0.8419401647454798,-0.029274067175116762,-14.479332761214692,0.8494608345202316,-0.05104376055223513,-14.46508373757792,0.7814587034032253,0.04568756195709177,-14.493812928918159,0.9276934456179964,-0.007881452800331886,-14.586478656566765,0.9581718522733588,-0.015033537178976205,-14.609804978848489
48.20000000000039,-0.07767437285773134,-2.667131269427568,-10.921861022299385,-0.923300103102741,-0.9580631522967882,-11.785303408291428,-0.5939002070115948,-0.6178823245169622,-12.45488413111789,-0.35281821871432006,-0.36735105138325835,-12.94649739219102,-0.15540743130305967,-0.17368344958253523,-13.337575781634444,0.8718515669463073,-0.039105742833938896,-14.499412487984634,0.85249060829074,-0.03290932457717692,-14.486247947357219,0.8457543873962099,-0.055680586844130686,-14.45674046417,0.7758977970344813,0.04588523491279829,-14.488449695503277,0.9175833643509089,-0.009972428640109087,-14.574277599471797,0.952914504195752,-0.02059356147984881,-14.59898760647871
48.30000000000038,-0.07755678951986153,-2.667097281824611,-10.922012593240185,-0.9265984336760247,-0.954715309089817,-11.78535292092512,-0.5973990558564706,-0.614340435629765,-12.454927171160245,-0.34915966375167384,-0.3709686476187318,-12.94653835091858,-0.15771567567857625,-0.17133492063372902,-13.337616066207735,0.8660400300440783,-0.04122866657586138,-14.491478027342199,0.8556994324977889,-0.03131956147355647,-14.491046534671064,0.8418259381938911,-0.0571476038399014,-14.451344997969981,0.7738900623966487,0.049394420491067556,-14.48995114643329,0.903608653027828,-0.009546025741507341,-14.560729291053699,0.9489081567512168,-0.024065330129647507,-14.591509490388086
48.400000000000375,-0.07743963168908813,-2.6670634808614206,-10.922163552034124,-0.9292442020510021,-0.9520202326788121,-11.785402228961146,-0.5982975370983293,-0.6133990921970036,-12.454970033351,-0.35065533583965486,-0.3694321860543204,-12.946579140394613,-0.16022152353249622,-0.16878875543881028,-13.3376563835483,0.8587427070744935,-0.037431472867102196,-14.487977898077153,0.8503396742465469,-0.029039784002302307,-14.487966553901458,0.8397694333759907,-0.05455158868178996,-14.451884508300575,0.7761220026282524,0.053114210039054754,-14.495902876205987,0.8959024442676058,-0.006135036648838222,-14.556434071389152,0.9514832784683557,-0.02589691088527856,-14.592253031340737
48.50000000000037,-0.07732289690236846,-2.6670298652540345,-10.922313902428204,-0.9301693819533396,-0.9510459480725543,-11.785451333665067,-0.595894923131631,-0.6157590207240978,-12.45501271879064,-0.35398181926234645,-0.36606508135944116,-12.946619761666993,-0.15751283527532683,-0.1714571671144985,-13.337696660130046,0.851623555374056,-0.02868742449734885,-14.489602794736095,0.8428021231199601,-0.03157902301986156,-14.477889763767251,0.8396236871125263,-0.04971800503536086,-14.456572345675145,0.7796942484989574,0.05715136803861135,-14.503512280076254,0.8931849823101307,0.0006326243244356274,-14.560484270394339,0.9608327320085966,-0.028825115745652916,-14.598674280012562
48.600000000000364,-0.07720658271622195,-2.666996433729601,-10.92246364813876,-0.9291940503343832,-0.9519723770645612,-11.785500236292018,-0.5925412217205809,-0.6190702123557892,-12.455055228570025,-0.35325717206382334,-0.36674927445213445,-12.946660215772617,-0.15548199238806013,-0.17344793265966973,-13.337736737471825,0.8481764750151998,-0.020632499458119343,-14.494210639411307,0.833198204209727,-0.02977422648924658,-14.47009064138939,0.8379781174219862,-0.04209140840528886,-14.46255337261259,0.7772627032492767,0.06468768706718711,-14.508617053858503,0.8938284378684963,0.007624516302832601,-14.568119617929588,0.9734689763366946,-0.03216844791359013,-14.607967192164574
48.70000000000036,-0.07709068670653314,-2.6669631850262623,-10.922612792851758,-0.92653219164261,-0.9545855339615285,-11.785548938086826,-0.5936053241420005,-0.617963774733164,-12.455097563771085,-0.34953520934305937,-0.37043094920358693,-12.946700503742234,-0.15921087878783874,-0.16967929707907622,-13.337776486653699,0.8560097184463696,-0.023627048587184108,-14.499049333711593,0.8295647017150216,-0.02697594341988423,-14.469255421957671,0.8327839905934126,-0.03382164046971983,-14.465629013724909,0.7724922732952016,0.06556843778973141,-14.504727374639812,0.8930708234333607,0.01604997447103653,-14.575787461661657,0.9843826597616592,-0.03347300754765632,-14.617576315951755
48.80000000000035,-0.07697520646835736,-2.666930117893044,-10.92276134022313,-0.9232968454234173,-0.9577723779834351,-11.785597440284116,-0.5971449466851121,-0.6143819904937647,-12.455139725467452,-0.3500942219307535,-0.3698318137615612,-12.946740626595911,-0.15967837017804307,-0.1691723941510819,-13.337815898191076,0.8576467042417346,-0.024363120006850578,-14.499950248093459,0.8357314618094457,-0.028616387409865898,-14.473781738050125,0.8308106844108883,-0.036417269791359445,-14.461060078231993,0.7649589070754972,0.06230095562483289,-14.493926526262957,0.8877508533189603,0.022767724192455926,-14.577185241276599,0.9838764981523598,-0.029412387785030247,-14.621130774112848
48.90000000000035,-0.07686013961572849,-2.6668972310897345,-10.92290929387904,-0.9222717927796578,-0.9587491268029036,-11.78564574410841,-0.5983284919685233,-0.6131564559545468,-12.455181714723114,-0.3536709295693561,-0.36621514737006705,-12.946780585348831,-0.15592962575565794,-0.17288195149440372,-13.337855085270624,0.8528017099629737,-0.025591501993556434,-14.493876871838433,0.8481418505808846,-0.03364436864014865,-14.481164145589341,0.8255970892146849,-0.04024658585068352,-14.452017166984287,0.7638195773207921,0.05632204709896309,-14.486808287986994,0.8821380121931858,0.019011824165772614,-14.567816500135596,0.9752364303216723,-0.030533618627013388,-14.611369475453111
49.00000000000034,-0.07674548378146923,-2.666864523386776,-10.923056657416234,-0.9247042503594682,-0.9562685625572683,-11.785693850774233,-0.5962027592567835,-0.6152403707951939,-12.455223532594205,-0.35361211709323925,-0.36623416418979043,-12.94682038100477,-0.15675720443077487,-0.17201525706140638,-13.337894201028226,0.8478413376496252,-0.02910123497294291,-14.485406766550101,0.8597715316662485,-0.0371690517034484,-14.489269143610775,0.8271740583214765,-0.04713903294098776,-14.446701689000866,0.7704630649157759,0.05032684886481721,-14.487456577340252,0.8789084607844543,0.011533764920993344,-14.557108889486932,0.9623948201103035,-0.030909644898791167,-14.598151838975609
49.100000000000335,-0.07663123661700362,-2.666831993565151,-10.923203434402298,-0.9279122479152433,-0.9530126542895009,-11.785741761486225,-0.5927543288294143,-0.618647153689027,-12.455265180127912,-0.35001347752991796,-0.3697931701965402,-12.946860014561953,-0.1600363197770355,-0.16869701200558807,-13.337933330737537,0.8418154242397006,-0.027403584910041228,-14.481078503197713,0.8623937878987034,-0.03526129600191957,-14.493799155550366,0.8337159700589428,-0.05262390320031894,-14.447758730470861,0.781974540438359,0.044790582999089716,-14.49343178698796,0.8834486581640324,0.003945358998776788,-14.554060680945858,0.9560227028583681,-0.029424462167992407,-14.593264904457003
49.20000000000033,-0.07651739579217176,-2.6667996404162753,-10.923349628375982,-0.9298509208044644,-0.9510262654472792,-11.785789477439225,-0.5933359387449678,-0.6180240655388616,-12.455306658362378,-0.34960929748588515,-0.37015787779582265,-12.946899487006057,-0.15837015033491456,-0.17032407700773436,-13.337972435177482,0.837006845525276,-0.02143822805921671,-14.482235281323737,0.8563177336569257,-0.03469526757652651,-14.48828912974603,0.8429758835004327,-0.05657177805034715,-14.453070769054449,0.7958242501384124,0.03972687258896883,-14.502217786272489,0.893414186917639,-0.001797378217628418,-14.558283472477742,0.9575212844897607,-0.02715557663567027,-14.59703237160935
49.300000000000324,-0.07640395899504683,-2.6667674627418845,-10.923495242847473,-0.9299647003023429,-0.9508649635702461,-11.78583699981838,-0.5968750178611127,-0.6144436764567984,-12.455347968328422,-0.3532779375643055,-0.36644992540428817,-12.946938799319492,-0.1552515700000113,-0.17340370947940517,-13.338011383040536,0.8323348072341408,-0.012160221440551629,-14.486841249643842,0.8463117634399957,-0.036483178028527505,-14.47649524908383,0.8514546197676223,-0.05816206490459969,-14.459959218466881,0.8088323032095415,0.036361364789653496,-14.511860331537905,0.907030193646457,-0.007191640297343108,-14.56650521712135,0.9658172135907339,-0.02740281790406018,-14.605081059438685
49.40000000000032,-0.07629092393175428,-2.66673545935393,-10.923640281298695,-0.9282431858685993,-0.952539148023131,-11.785884329799241,-0.5983319546725044,-0.6129455969263206,-12.455389111047365,-0.3538755455678109,-0.3658131642472908,-12.946977952472388,-0.15838171539108806,-0.1702349004898682,-13.33805004663902,0.8262504025594609,-0.0005459510980821059,-14.492371115308915,0.836135649935846,-0.033747589902460046,-14.469054723710133,0.8525160567778627,-0.054658868920008534,-14.46452385146557,0.8130636864376706,0.038122721060470204,-14.51785307104196,0.9227496032362712,-0.012382307481023612,-14.57703395951359,0.9764531365844974,-0.028409928139156822,-14.614709872190753
49.50000000000031,-0.07617828832629318,-2.6667036290744734,-10.923784747183587,-0.9251551784807472,-0.9555800166623705,-11.785931468547858,-0.5964903323681039,-0.6147462427448409,-12.455430087533207,-0.3505563629212521,-0.369093351935311,-12.947016947431326,-0.15998578591789636,-0.16859248482242967,-13.33808839177885,0.8280488532097146,0.0002908520255604719,-14.495006369087621,0.8312269287214435,-0.02849831181876443,-14.469395280578816,0.8471285521555478,-0.052780306691654115,-14.461014909082996,0.8065486746610352,0.038857094282094204,-14.512072432499728,0.9387357846939632,-0.016766688942234584,-14.588635759490717,0.9803703997301655,-0.02538441511685929,-14.621652648361486
49.60000000000031,-0.0760660499203597,-2.66667197073558,-10.92392864392839,-0.9225045702436323,-0.958183676226472,-11.785978417220875,-0.5930003150773756,-0.6181954487774517,-12.45547089879141,-0.3492345874512388,-0.37037628968485165,-12.947055785151667,-0.15670554532916092,-0.17183461805308886,-13.338126499137244,0.8262186270848545,-0.0024547394492442126,-14.490430551499644,0.8341602631142074,-0.02593025841359254,-14.474896668366197,0.8392125681491585,-0.05474265547093742,-14.451136576306068,0.7948260519884591,0.037181745138272354,-14.498674460690186,0.9488968168626213,-0.01750042002082273,-14.598063060582676,0.9737347825493728,-0.02313867250275042,-14.617262773806218
49.7000000000003,-0.07595420647317269,-2.6666404831792163,-10.924071974931914,-0.9230865225949008,-0.9575549641304518,-11.786025176965628,-0.5930967688578276,-0.6180583479693026,-12.455511545818963,-0.3528138056528271,-0.3667583900513254,-12.94709446658417,-0.15593310673071417,-0.17256905126597555,-13.338164504522265,0.8229749633737341,-0.008227842667959529,-14.481413784577104,0.845663742923408,-0.029066505911984494,-14.483263900669789,0.8316437430040609,-0.0540336362152645,-14.444276770419595,0.7845250675035332,0.03932714129572918,-14.490518872367918,0.9442346621429848,-0.01517413211581131,-14.595727193777536,0.9622424335132237,-0.02509025138785359,-14.603818845892206
49.800000000000296,-0.07584275576130144,-2.6666091652571473,-10.92421474356583,-0.9261805548089964,-0.954414359961744,-11.786071748920245,-0.5965913884206799,-0.614523244619823,-12.455552029605668,-0.3540431853980587,-0.3654904842210565,-12.947132992668532,-0.1595962143005089,-0.16886794559496318,-13.338202502623746,0.8226875822992327,-0.0138646047969001,-14.475489641373764,0.8609720714157155,-0.0341695351338418,-14.493469199927763,0.8328528966514522,-0.05507422643607804,-14.444445333837924,0.7804280924220667,0.044276551929243735,-14.491371307916845,0.9311070397253478,-0.017424114165008612,-14.58034958931958,0.9544123389368668,-0.025890309433257593,-14.595188693275281
49.90000000000029,-0.07573169557849528,-2.6665780158308365,-10.924356953174923,-0.9289413177783465,-0.9516072116989224,-11.78611813421372,-0.5983086268513597,-0.612765684662187,-12.455592351132488,-0.3511267340141416,-0.36836856393261536,-12.947171364341308,-0.15908397568948954,-0.1693422040037675,-13.338240482826084,0.8259997116066138,-0.017188941017492982,-14.47547743445157,0.8775517169543434,-0.03935221875184748,-14.504866161829684,0.8423580204839963,-0.05935969903060133,-14.449664985065416,0.7823195962480296,0.04865055939906437,-14.497636819202262,0.9164486522727594,-0.015522216594742315,-14.567593099444649,0.9556794317921087,-0.02627029938915015,-14.596075796170922
50.000000000000284,-0.07562102373551537,-2.6665470337713444,-10.924498607077371,-0.9301088824590552,-0.9503934472659161,-11.786164333966019,-0.5967558571806371,-0.6142782940920597,-12.455632511373258,-0.3489988445021992,-0.3704582352586463,-12.947209582527107,-0.1554499011127499,-0.1729384205025314,-13.338278340904347,0.8325893555116444,-0.019571390985694624,-14.479684628378058,0.8934994182077982,-0.043644195163546756,-14.516521886650995,0.8549092166527392,-0.06412490144745632,-14.457450978815517,0.7900147132486807,0.04970069270850654,-14.50638206950973,0.9075395094733727,-0.009069581276880729,-14.565136591961954,0.9639359942423942,-0.027853096353650703,-14.60274956164698
50.10000000000028,-0.07551073805996845,-2.6665162179592317,-10.924639708565005,-0.9294346953176075,-0.9510216190852151,-11.786210349288167,-0.5932733102645114,-0.6177208410876552,-12.455672511293834,-0.3522926980608489,-0.3671263160816382,-12.947247648145856,-0.15745389541384977,-0.1708968113121105,-13.338315955793624,0.839676030352545,-0.020572446303002367,-14.4857702478994,0.9022123664722834,-0.043953801146798976,-14.524925228934887,0.8648970725443419,-0.06619924608463239,-14.465364490070991,0.7974661304869487,0.051022196472929625,-14.515154990512084,0.9006135097192844,0.002345592709150612,-14.56962576618874,0.9758922594727486,-0.030518213035752563,-14.612040710188225
50.20000000000027,-0.07540083639614253,-2.6664855672844614,-10.924780260903576,-0.9270616049741507,-0.9533488774344998,-11.78625618128234,-0.5928922554428828,-0.6180620553509912,-12.45571235185199,-0.35411332709052784,-0.36526777308975644,-12.94728556210753,-0.16002707058170373,-0.168286316436832,-13.33835327550076,0.8417190645504078,-0.017646239346996506,-14.490739489053295,0.8965382021043922,-0.04262123951436283,-14.520583626210044,0.8642618825255216,-0.06283156618192468,-14.468096979962572,0.795158247234887,0.05623441172546489,-14.518059322520136,0.9043036508758523,0.004623236425289261,-14.57559355105831,0.9857327198503623,-0.031137287282700855,-14.621262096317261
50.30000000000027,-0.07529131660484446,-2.6664550806463034,-10.924920267333007,-0.9238712717934853,-0.9564935608555625,-11.786301831041946,-0.5962963858426243,-0.6146182428047118,-12.455752033998731,-0.35169171315725306,-0.3676516238124389,-12.947323325318646,-0.1575707921227808,-0.1707055186584204,-13.33839035173841,0.8366910974669445,-0.013795636960012262,-14.489562124364515,0.8827637862345769,-0.04475857815921317,-14.50467187170291,0.8575295810152616,-0.06398637259601184,-14.460209872050715,0.7875691541992936,0.054739100520711674,-14.508974918292369,0.9090713162627851,0.002064951002141071,-14.577802931028161,0.9838713199907722,-0.026928836576896913,-14.623609147171528
50.40000000000026,-0.07518217656323954,-2.666424756953238,-10.925059731067654,-0.9223736124494101,-0.9579457515898746,-11.786347299651707,-0.5982592862733684,-0.6126158176962727,-12.455791558676307,-0.3489206007461102,-0.3703851228673152,-12.947360938674793,-0.15539145064272986,-0.17284791107097053,-13.338427300805549,0.8307038518929761,-0.0163777753293826,-14.480992740432011,0.8676373448256103,-0.0426131602680077,-14.491690848192944,0.8466262798557731,-0.06433644889004986,-14.448956494602445,0.7772530896261373,0.05280955273873965,-14.496729305943203,0.9043593202972673,0.0006954627652205822,-14.571721446836996,0.9748419412622357,-0.02855557042852656,-14.612953034603228
50.500000000000256,-0.07507341416469288,-2.666394595122864,-10.92519865529655,-0.9243507224035347,-0.955923353099689,-11.78639258818777,-0.596997957682451,-0.6138377781428719,-12.455830926820521,-0.3517325998580332,-0.36753565936294297,-12.947398403067398,-0.1589364485239186,-0.16926599337034204,-13.338464220625827,0.8225804079911608,-0.016688109342128336,-14.47255896252075,0.857931538226634,-0.03635561155223684,-14.48824259030869,0.838502700867166,-0.0611697134099516,-14.443999651095801,0.7752405593486321,0.049876642300094046,-14.491783865229104,0.8993076713650616,-0.00329949753531296,-14.562674837609896,0.9625425791540339,-0.02877572076525003,-14.600433522163607
50.60000000000025,-0.07496502731861274,-2.6663645940818035,-10.925337043183665,-0.9275248130648757,-0.9527041529083584,-11.786437697717762,-0.5935672981741524,-0.6172292251121618,-12.45587013935959,-0.35408635490827906,-0.3651445880006989,-12.947435719379206,-0.1595861021812857,-0.16857943686290652,-13.33850112347536,0.8218245042486965,-0.018506728302553167,-14.469984439812848,0.8546424241523622,-0.029867895284492185,-14.491441192502032,0.8371484510293788,-0.0573352740887328,-14.44647984057699,0.7808147947259152,0.04731149997485991,-14.49479295827325,0.8948271701911089,-0.002573113196327272,-14.558920720770562,0.9575876673244561,-0.02766101787595284,-14.596593313225116
50.700000000000244,-0.07485701395029554,-2.6663347527656134,-10.925474897868147,-0.929644776258136,-0.9505392581319723,-11.786482629300886,-0.5927263708540678,-0.6180310945778145,-12.455909197213895,-0.3522242394098129,-0.3669695343912335,-12.947472888487278,-0.15600874161427952,-0.17211998995268102,-13.338537930953523,0.8289758441072657,-0.022769142169025407,-14.472873365793484,0.8626610564433874,-0.03317820311502649,-14.496149516961589,0.8447054250131489,-0.058082925214080476,-14.453289163429183,0.7917025491664861,0.04368027322507979,-14.502049485959004,0.8946688510145846,0.0002916240565821098,-14.561627138835602,0.9600544903270889,-0.02592472966315316,-14.600796424428697
50.80000000000024,-0.07474937200077292,-2.666305070118692,-10.925612222464569,-0.9300273343626783,-0.9501119453403009,-11.786527383988016,-0.5959925697036842,-0.614725991644839,-12.455948101297434,-0.3490043510210114,-0.37015240000694055,-12.947509911260312,-0.15654057647486455,-0.1715515535060991,-13.33857453253896,0.8398594296989751,-0.02767722983945904,-14.478848863711246,0.8651779785131635,-0.033802312750049766,-14.49804232940182,0.8583264444757576,-0.06240866551134544,-14.462584442587115,0.8049676419992523,0.03978685878625775,-14.51142116434495,0.8986216201388868,0.0027830990864846803,-14.568071382986517,0.9684199308458903,-0.026304029816348995,-14.608782564792154
50.90000000000023,-0.07464209942666031,-2.666275545094193,-10.925749020063154,-0.928610221128901,-0.9514844797403365,-11.786571962821759,-0.5981847824914436,-0.6124950276384906,-12.455986852516096,-0.35115583759368824,-0.36796403613367407,-12.947546788560935,-0.15980619038072252,-0.16824960751488383,-13.338610864624059,0.8499262694396614,-0.030757659525564893,-14.485835273765462,0.8604841697282721,-0.03374689418669589,-14.493403939190573,0.8743401987322639,-0.0674709056382491,-14.473535956701314,0.8163619182985444,0.03779886623628056,-14.520827448090555,0.9023635719535316,0.006359362556855152,-14.575389598271965,0.977675503350995,-0.02653372864571918,-14.617808438463783
